Remove Emoji, ,,,
,,,,
Filter non-string words, ,,,
,,,,
Remove Duplicate Columns/Data, ,,,
,,,,
Remove Constant Features, ,,,
,,,,
Convert Image Size,103,105,128,137
,83-91,126-143,327,278-279
Spelling Correction, ,,,
,,,,
Remove Punctuations, ,,,
,,,,
Fill missing data, ,,,
,,,,
Remove HTML tags, ,,,
,,,,
Drop unrelated features, ,,,
,,,,
Break down timestamp data, ,,,
,,,,
Drop Sparse Data, ,,,
,,,,
Central/Random Crop,128,139,140,
,342,515,313,
Cutout,140,,,
,320-324,,,
